Account,Date,Name,Instance Id,Instance Name,YTD Unique,Unique Logins,Total Logins,All Logins
Fedder RP Corp,1/20/2014,INSTANCELEVEL,Fedder RP Corp Inst1,Fedder RP Corp---INDIA,40000,40000,40000,40000
Fedder RP Corp,1/20/2014,INSTANCELEVEL,Fedder RP Corp Inst2,Fedder RP Corp---US,40000,40000,40000,40000
Fedder RP Corp 3 ,1/20/2014,INSTANCELEVEL,wwww,Fedder RP Corp---NZLAND,40000,40000,40000,40000
Fell David H & Company Inc1,1/20/2014,INSTANCELEVEL,QQQ,Fell David H & Company Inc Testing with Bigger Name for Adoption,40000,40000,40000,40000
Fell David H & Company Inc,1/20/2014,INSTANCELEVEL,Fell David H & Comp Inst21  Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,40000,40000,40000,40000
Galbreath Co,1/20/2014,INSTANCELEVEL,WWWW,Galbreath Co ---UK,40000,40000,40000,40000
Halcyon Assoc,1/20/2014,INSTANCELEVEL,Halcyon Assoc Inst50,Halcyon Assoc ----INDIA,40000,40000,40000,40000
Hardy James G & Co,1/20/2014,INSTANCELEVEL,Hardy James G & Co Inst60,Hardy James G & Co ---INDIA,40000,40000,40000,40000
Hardy James G & Co,1/20/2014,INSTANCELEVEL,Hardy James G & Co Inst61,Hardy James G & Co ---AUST,40000,40000,40000,40000
IBIS Systems Inc.,1/20/2014,INSTANCELEVEL,,IBIS Systems Inc. ----SWTLAND,40000,40000,40000,40000
Lafferty RF & Co Inc,1/20/2014,INSTANCELEVEL,Lafferty RF & Co Inc Inst80,Lafferty RF & Co Inc ----AUST,40000,40000,40000,40000
O-Cel-O Div General Mills Inc.,1/20/2014,INSTANCELEVEL,O-Cel-O Div General Inst90,O-Cel-O Div General Mills Inc. ----LONDON,40000,40000,40000,40000
Purity-Supreme Inc.,1/20/2014,INSTANCELEVEL,Purity-Supreme Inc Inst100,Purity-Supreme Inc.-----PARIS,40000,40000,40000,40000
Raleigh Co.,1/20/2014,INSTANCELEVEL,Raleigh Co InstA2,Raleigh Co.-------INDIA,40000,40000,40000,40000
R-F Industries Inc,1/20/2014,INSTANCELEVEL,R-F Industries Inc InstB1,R-F Industries Inc-----INDIA,40000,40000,40000,40000
Westend Dealers,1/20/2014,INSTANCELEVEL,Westend Dealers InstD1,Westend Dealers ----MALDIVIS,40000,40000,40000,40000
